
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,Apoptosis,0.70703,Point,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1
2,Apoptosis,0.08203,Point,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1
3,Senescence,0.13672,Point,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0
4,Senescence,0.06641,Point,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0
5,Senescence,0.00781,Point,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
