
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,wip1,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,Proliferation,1,Point,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0

Average Node Propensities
atm,p53,mdm2,mdmx,wip1,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases,
0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,


Individual Cell Fates
Proliferation,Senescence,Apoptosis,Cell_Cycle_Arrest,Uncharacterized,
1,0,0,0,0,

Total Sample Size,10000
Total States Converged,10000
