Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
83,Uncharacterized,5.97E-05,0,1,1,1,1,0,0,1,0,0,0
84,Uncharacterized,5.97E-05,0,0,1,0,1,0,0,0,0,0,0
85,Uncharacterized,5.97E-05,0,0,0,0,1,0,1,0,0,0,0
86,Uncharacterized,5.97E-05,0,0,0,0,1,0,0,0,0,0,1
87,Uncharacterized,5.97E-05,1,0,0,0,1,0,0,0,0,0,0
88,Uncharacterized,5.93E-05,0,0,0,0,1,0,0,1,0,0,0
89,Uncharacterized,5.93E-05,0,0,0,0,0,0,0,1,0,0,1
90,Uncharacterized,2.32E-05,0,0,0,0,1,0,0,1,1,0,0
91,Uncharacterized,1.87E-05,0,1,0,0,0,0,0,1,1,0,0
92,Uncharacterized,1.85E-05,0,1,0,1,0,0,0,0,1,0,0
93,Uncharacterized,1.84E-05,0,1,0,0,0,1,1,0,1,0,0
94,Uncharacterized,1.84E-05,0,1,0,0,0,1,0,0,1,0,0
95,Uncharacterized,1.83E-05,0,1,0,0,0,0,1,0,1,0,0
96,Uncharacterized,1.83E-05,0,1,0,0,0,0,0,0,1,0,1
97,Uncharacterized,1.83E-05,1,1,0,0,0,0,0,0,1,0,0
98,Uncharacterized,8.41E-06,0,0,0,0,0,0,1,0,0,0,1
99,Uncharacterized,6.23E-06,0,1,1,1,1,1,0,0,1,0,0
100,Uncharacterized,5.60E-06,0,0,1,1,1,1,0,0,1,0,0
101,Uncharacterized,4.88E-06,0,1,1,0,1,1,0,0,1,0,0
102,Uncharacterized,4.52E-06,0,0,0,0,1,1,1,0,1,0,1
103,Uncharacterized,4.39E-06,0,0,0,0,1,1,0,0,1,0,1
104,Uncharacterized,4.29E-06,0,0,0,1,1,1,0,0,1,0,0
105,Uncharacterized,4.29E-06,0,0,1,0,1,1,0,0,1,0,0
106,Uncharacterized,4.29E-06,1,0,0,0,1,1,0,0,1,0,0
107,Uncharacterized,4.16E-06,0,0,0,0,0,0,0,1,1,0,0
108,Uncharacterized,4.12E-06,0,0,0,0,0,0,0,0,1,1,0
109,Uncharacterized,2.95E-06,0,1,1,0,1,1,1,0,1,0,0
110,Uncharacterized,2.78E-06,0,0,0,1,1,1,1,0,1,0,0
111,Uncharacterized,2.78E-06,0,0,1,0,1,1,1,0,1,0,0
112,Uncharacterized,2.78E-06,1,0,0,0,1,1,1,0,1,0,0
113,Uncharacterized,2.77E-06,0,0,0,0,1,0,0,0,0,1,0
114,Uncharacterized,2.56E-06,0,0,0,0,0,1,1,0,1,1,0
115,Uncharacterized,2.34E-06,0,1,1,1,0,1,0,0,0,0,0
116,Uncharacterized,2.27E-06,0,1,1,1,0,0,1,1,0,1,1
117,Uncharacterized,2.25E-06,0,0,0,0,0,0,1,0,1,1,1
118,Uncharacterized,2.24E-06,0,0,0,1,0,1,1,0,1,1,1
119,Uncharacterized,2.24E-06,0,0,0,1,0,1,1,0,1,0,1
120,Uncharacterized,2.15E-06,1,0,0,0,0,1,1,0,0,1,1
121,Uncharacterized,2.14E-06,0,0,0,0,1,1,1,0,1,1,1
122,Uncharacterized,2.14E-06,1,0,0,0,0,1,1,0,1,1,1
123,Uncharacterized,2.14E-06,1,0,0,0,0,1,1,0,1,0,1
124,Uncharacterized,1.87E-06,0,0,0,1,0,1,1,0,0,1,1
125,Uncharacterized,1.65E-06,0,1,1,0,0,0,0,1,0,1,1
126,Uncharacterized,1.56E-06,0,1,1,0,0,0,0,1,0,0,0
127,Uncharacterized,1.47E-06,0,0,1,1,0,1,0,0,1,0,0
128,Uncharacterized,1.35E-06,0,1,0,1,0,0,0,1,0,0,0
129,Uncharacterized,1.34E-06,0,1,0,1,0,0,0,1,0,1,1
130,Uncharacterized,1.32E-06,0,1,1,1,0,1,0,1,0,0,1
131,Uncharacterized,1.26E-06,1,0,0,1,0,0,1,1,0,1,1
132,Uncharacterized,1.24E-06,0,1,1,1,0,1,1,1,0,1,0
133,Uncharacterized,1.20E-06,0,1,1,1,0,1,0,0,1,0,0
134,Uncharacterized,1.19E-06,0,1,1,1,0,0,0,1,0,1,0
135,Uncharacterized,1.14E-06,0,1,1,1,0,1,0,1,0,1,1
136,Uncharacterized,1.14E-06,0,1,1,1,0,0,1,1,0,0,0
137,Uncharacterized,1.14E-06,1,1,1,1,0,0,0,1,0,0,0
138,Uncharacterized,1.14E-06,0,1,1,1,0,1,0,1,0,0,0
139,Uncharacterized,1.13E-06,1,1,1,1,0,0,0,1,0,1,1
140,Uncharacterized,1.06E-06,0,0,1,1,0,1,1,0,0,0,0
141,Uncharacterized,1.05E-06,0,1,1,1,0,0,0,0,0,0,1
142,Uncharacterized,1.05E-06,0,1,1,1,0,0,1,0,0,0,0
143,Uncharacterized,1.04E-06,0,1,0,1,0,0,0,0,0,0,0
144,Uncharacterized,9.51E-07,0,0,0,0,1,0,1,0,1,0,1
145,Uncharacterized,9.29E-07,1,1,1,1,0,0,0,0,0,0,0
146,Uncharacterized,8.98E-07,0,1,1,1,1,0,0,0,0,0,0
147,Uncharacterized,8.28E-07,0,1,0,0,0,0,0,0,1,1,0
148,Uncharacterized,8.07E-07,0,1,1,1,0,1,1,0,0,0,0
149,Uncharacterized,7.92E-07,0,1,1,1,1,0,0,1,1,0,0
150,Uncharacterized,6.82E-07,0,1,1,1,1,1,1,0,1,0,0
151,Uncharacterized,6.74E-07,0,1,1,1,1,0,1,0,1,0,0
152,Uncharacterized,6.74E-07,0,1,1,1,1,0,0,0,1,0,1
153,Uncharacterized,6.74E-07,0,1,1,0,1,0,1,0,1,0,0
154,Uncharacterized,6.73E-07,0,1,1,0,1,0,0,0,1,0,1
155,Uncharacterized,6.73E-07,1,1,1,1,1,0,0,0,1,0,0
156,Uncharacterized,6.21E-07,0,0,1,1,1,1,1,0,1,0,0
157,Uncharacterized,6.16E-07,0,0,0,1,0,0,1,0,1,0,1
158,Uncharacterized,6.04E-07,0,1,1,0,0,1,1,1,0,1,1
159,Uncharacterized,6.02E-07,0,1,1,0,0,0,0,1,0,0,1
160,Uncharacterized,5.84E-07,0,1,0,0,0,1,1,1,0,1,0
161,Uncharacterized,5.09E-07,0,0,1,1,1,0,1,0,1,0,0
162,Uncharacterized,5.09E-07,0,0,1,1,1,0,0,0,1,0,1
163,Uncharacterized,5.09E-07,1,0,1,1,1,0,0,0,1,0,0
164,Uncharacterized,5.08E-07,0,0,0,1,1,0,1,0,1,0,0
165,Uncharacterized,5.08E-07,0,0,0,1,1,0,0,0,1,0,1
166,Uncharacterized,5.08E-07,1,0,0,1,1,0,0,0,1,0,0
167,Uncharacterized,5.08E-07,0,0,1,0,1,0,1,0,1,0,0
168,Uncharacterized,5.08E-07,1,0,0,0,1,0,1,0,1,0,0
169,Uncharacterized,5.08E-07,0,0,1,0,1,0,0,0,1,0,1
170,Uncharacterized,5.08E-07,1,0,1,0,1,0,0,0,1,0,0
171,Uncharacterized,5.08E-07,1,0,0,0,1,0,0,0,1,0,1
172,Uncharacterized,5.01E-07,0,0,1,1,0,1,1,1,0,1,1
173,Uncharacterized,4.54E-07,0,1,0,0,1,1,0,0,1,0,1
174,Uncharacterized,4.50E-07,0,1,0,0,0,1,0,1,0,0,1
175,Uncharacterized,4.49E-07,0,1,0,0,0,0,1,1,0,1,1
176,Uncharacterized,4.38E-07,0,0,0,0,0,1,1,0,0,0,1
177,Uncharacterized,3.74E-07,0,0,1,1,0,0,0,1,0,0,1
178,Uncharacterized,3.71E-07,0,0,1,1,0,1,0,0,0,0,1
179,Uncharacterized,3.69E-07,0,1,1,1,0,0,0,1,1,0,0
180,Uncharacterized,3.66E-07,0,0,0,1,0,0,0,0,0,0,1
181,Uncharacterized,3.45E-07,0,1,0,0,0,0,0,0,0,0,1
182,Uncharacterized,3.43E-07,0,1,1,0,1,0,0,1,0,0,0
183,Uncharacterized,3.39E-07,0,0,0,0,0,1,1,1,1,1,1
184,Uncharacterized,3.39E-07,0,0,1,0,0,1,0,0,0,0,0
185,Uncharacterized,3.38E-07,0,0,0,1,0,1,0,0,0,0,0
186,Uncharacterized,3.08E-07,0,0,1,1,0,0,1,1,0,1,1
187,Uncharacterized,3.07E-07,0,1,0,1,0,1,1,1,0,1,1
188,Uncharacterized,3.06E-07,1,0,0,0,0,0,1,1,0,1,1
189,Uncharacterized,3.02E-07,0,1,0,1,0,0,0,1,0,0,1
190,Uncharacterized,3.00E-07,1,0,0,0,0,1,1,1,0,1,1
191,Uncharacterized,2.96E-07,0,1,0,1,1,1,0,0,1,0,0
192,Uncharacterized,2.90E-07,1,1,0,0,1,1,0,0,1,0,0
193,Uncharacterized,2.54E-07,0,0,1,1,1,1,0,0,0,0,0
194,Uncharacterized,2.53E-07,0,0,1,1,0,0,1,0,0,0,1
195,Uncharacterized,2.53E-07,0,1,1,1,0,0,0,0,0,1,0
196,Uncharacterized,2.49E-07,0,1,0,0,0,1,1,0,0,0,0
197,Uncharacterized,2.48E-07,0,1,1,1,0,1,1,0,0,1,0
198,Uncharacterized,2.47E-07,0,0,1,1,0,0,0,0,0,1,1
199,Uncharacterized,2.47E-07,1,0,1,1,0,1,0,0,0,0,0
200,Uncharacterized,2.43E-07,0,0,1,0,0,0,0,0,0,0,1
201,Uncharacterized,2.43E-07,0,0,0,1,0,1,1,0,0,1,0
