
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,Apoptosis,0.64844,Point,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1
2,Senescence,0.06641,Point,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0
3,Apoptosis,0.09766,Point,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1
4,Senescence,0.17188,Point,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0
5,Senescence,0.01562,Point,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
