hCGa,1,726.215143,519.4486436,white
cAMP,1,702.9547059,489.7588892,white
SP1,1,683.442568,457.4818707,white
hCGb,1,667.9632602,423.0882597,white
SP3,1,656.7425057,387.0795925,white
BMP2K,1,649.9439283,349.9809565,white
BMP2,1,647.6666667,312.3333333,white
HNF4A,1,649.9439283,274.6857102,white
bCAT,1,656.7425057,237.5870742,white
CEBP,1,667.9632602,201.5784069,white
FOXO1A,1,683.442568,167.1847959,white
LEF1,1,702.9547059,134.9077774,white
LEF1bCat,1,726.215143,105.2180231,white
Mad,1,752.8846897,78.54847632,white
MadMax,1,782.5744441,55.28803922,white
MAX,1,814.8514626,35.77590132,white
MYC,1,849.2450736,20.29659353,white
TCF3,1,885.2537409,9.075839024,white
MycMax,1,922.3523769,2.277261657,white
MYCSP1,1,960,0,white
NFYA,1,997.6476231,2.277261657,white
SALL4,1,1034.746259,9.075839024,white
ZNF206,1,1070.754926,20.29659353,white
NANOG,1,1105.148537,35.77590132,white
OCT,1,1137.425556,55.28803922,white
OCT4Sox2,1,1167.11531,78.54847632,white
SOX2,1,1193.784857,105.2180231,white
ZIC3,1,1217.045294,134.9077774,white
KLF4,1,1236.557432,167.1847959,white
FOXD3,1,1252.03674,201.5784069,white
ZFP42,1,1263.257494,237.5870742,white
GDF3,1,1270.056072,274.6857102,white
,,,,
Weight Based,,,,
